央视,#genre#
CCTV-1综合,http://000.hfr1107.top/smt/migu_hd.php?id=608807420
CCTV-2财经,http://000.hfr1107.top/smt/migu_hd.php?id=631780532
CCTV-3综艺,http://000.hfr1107.top/smt/migu_hd.php?id=624878271
CCTV-4中文国际,http://000.hfr1107.top/smt/migu_hd.php?id=631780421#http://000.hfr1107.top/smt/migu_hd.php?id=608807419#http://000.hfr1107.top/smt/migu_hd.php?id=608807416
CCTV-5体育,http://000.hfr1107.top/smt/migu_hd.php?id=641886683
CCTV-5+体育赛事,http://000.hfr1107.top/smt/migu_hd.php?id=641886773
CCTV-6电影,http://000.hfr1107.top/smt/migu_hd.php?id=624878396
CCTV-7国防军事,http://000.hfr1107.top/smt/migu_hd.php?id=673168121
CCTV-8电视剧,http://000.hfr1107.top/smt/migu_hd.php?id=624878356
CCTV-9纪录,http://000.hfr1107.top/smt/migu_hd.php?id=673168140
CCTV-10科教,http://000.hfr1107.top/smt/migu_hd.php?id=624878405
CCTV-11戏曲,http://000.hfr1107.top/smt/migu_hd.php?id=667987558
CCTV-12社会,http://000.hfr1107.top/smt/migu_hd.php?id=673168185
CCTV-13新闻,http://000.hfr1107.top/smt/migu_hd.php?id=608807423
CCTV-14少儿,http://000.hfr1107.top/smt/migu_hd.php?id=624878440
CCTV-15音乐,http://000.hfr1107.top/smt/migu_hd.php?id=673168223
CCTV-16奥林匹克,http://000.hfr1107.top/smt/migu_mcp.php?url=https://mursor.ottiptv.cc/mst/6000061.m3u8
CCTV-15音乐,http://000.hfr1107.top/smt/migu_hd.php?id=67316822
CCTV-17农业,http://000.hfr1107.top/smt/migu_hd.php?id=673168256
CCTV8K,http://000.hfr1107.top/smt/migu_mcp.php?url=https://mursor.ottiptv.cc/mcp/cctv8k.m3u8
卫视,#genre#
江苏卫视,http://000.hfr1107.top/smt/migu_hd.php?id=623899368
东方卫视,http://000.hfr1107.top/smt/migu_hd.php?id=651632648
广东卫视,http://000.hfr1107.top/smt/migu_hd.php?id=608831231
湖北卫视,http://000.hfr1107.top/smt/migu_hd.php?id=947472496
吉林卫视,http://000.hfr1107.top/smt/migu_hd.php?id=947472500
河南卫视,http://000.hfr1107.top/smt/migu_hd.php?id=790187291
