中国,#genre#
中国|CCTV-1 综合,http://127.0.0.1:8066/smart.php?id=cctv1
中国|CCTV-2 财经,http://127.0.0.1:8066/smart.php?id=cctv2
中国|CCTV-3 综艺,http://127.0.0.1:8066/smart.php?id=cctv3
中国|CCTV-4 中文国际,http://127.0.0.1:8066/smart.php?id=Cctv4
中国|CCTV-4 中文国际,http://127.0.0.1:8066/smart.php?id=cctv4
中国|CCTV-5 体育,http://127.0.0.1:8066/smart.php?id=cctv5
中国|CCTV-6 电影,http://127.0.0.1:8066/smart.php?id=cctv6
中国|CCTV-7 国防军事,http://127.0.0.1:8066/smart.php?id=cctv7
中国|CCTV-8 电视剧,http://127.0.0.1:8066/smart.php?id=cctv8hd
中国|CCTV-9 记录,http://127.0.0.1:8066/smart.php?id=cctv9hd
中国|CCTV-10 科教,http://127.0.0.1:8066/smart.php?id=cctv10hd
中国|CCTV-11 戏曲,http://127.0.0.1:8066/smart.php?id=cctv11
中国|CCTV-12 社会与法,http://127.0.0.1:8066/smart.php?id=cctv12
中国|CCTV-13 新闻,http://127.0.0.1:8066/smart.php?id=cctv13
中国|CCTV-14 少儿,http://127.0.0.1:8066/smart.php?id=cctv14
中国|CCTV-15 音乐,http://127.0.0.1:8066/smart.php?id=cctv15
中国|CCTV-16 奥林匹克,http://127.0.0.1:8066/smart.php?id=cctv16
中国|CCTV-17 农业农村,http://127.0.0.1:8066/smart.php?id=cctv17
中国|CCTV-5+ 体育赛事,http://127.0.0.1:8066/smart.php?id=cctv5plus
中国|湖南卫视,http://127.0.0.1:8066/smart.php?id=hunan_twn
中国|浙江卫视,http://127.0.0.1:8066/smart.php?id=zhejiang_twn
中国|江苏卫视,http://127.0.0.1:8066/smart.php?id=jiangsu_twn
中国|东方卫视,http://127.0.0.1:8066/smart.php?id=dongfangweishi_twn
中国|北京卫视,http://127.0.0.1:8066/smart.php?id=beijing
中国|深圳卫视,http://127.0.0.1:8066/smart.php?id=shenzhen
中国|广东卫视,http://127.0.0.1:8066/smart.php?id=guangdongweishi_twn
中国|大湾区卫视,http://127.0.0.1:8066/smart.php?id=nanfang_twn
中国|珠江台,http://127.0.0.1:8066/smart.php?id=zhujiang
中国|东南卫视,http://127.0.0.1:8066/smart.php?id=fujian
中国|广西卫视,http://127.0.0.1:8066/smart.php?id=guangxi
中国|湖北卫视,http://127.0.0.1:8066/smart.php?id=hubei
中国|四川卫视,http://127.0.0.1:8066/smart.php?id=sichuan_twn
中国|CGTN,http://127.0.0.1:8066/smart.php?id=CGTN

香港,#genre#
香港|凤凰中文,http://127.0.0.1:8066/smart.php?id=phoenixtv_hd
香港|凤凰资讯,http://127.0.0.1:8066/smart.php?id=phoenixinfo_hd
香港|凤凰香港,http://127.0.0.1:8066/smart.php?id=hkphoenix_twn
香港|翡翠台,http://127.0.0.1:8066/smart.php?id=jade_twn
香港|翡翠台,http://127.0.0.1:8066/smart.php?id=Jade_xue
香港|明珠台,http://127.0.0.1:8066/smart.php?id=pearl_twn
香港|无线新闻,http://127.0.0.1:8066/smart.php?id=inews_twn
香港|TVBPLUS,http://127.0.0.1:8066/smart.php?id=j2_twn
香港|ViuTV,http://127.0.0.1:8066/smart.php?id=viu1_twn
香港|ViuTV 6,http://127.0.0.1:8066/smart.php?id=viusix_twn
香港|RTHK 31,http://127.0.0.1:8066/smart.php?id=rhk31_twn
香港|RTHK 32,http://127.0.0.1:8066/smart.php?id=rhk32_twn
香港|HOY TV,http://127.0.0.1:8066/smart.php?id=hoycaijing_twn

台湾,#genre#
台湾|台视 HD,http://127.0.0.1:8066/smart.php?id=ttv_taiwan
台湾|台视新闻,http://127.0.0.1:8066/smart.php?id=ttvnews_twn
台湾|台视综合,http://127.0.0.1:8066/smart.php?id=ttvzhonghe
台湾|中视 HD,http://127.0.0.1:8066/smart.php?id=zhongshihd_twn
台湾|中视新闻,http://127.0.0.1:8066/smart.php?id=zhongshinews_twn
台湾|中视经典,http://127.0.0.1:8066/smart.php?id=zhongshi_twn
台湾|华视 HD,http://127.0.0.1:8066/smart.php?id=ctshd_twn
台湾|公视 HD,http://127.0.0.1:8066/smart.php?id=ctv_taiwan
台湾|公视台语台,http://127.0.0.1:8066/smart.php?id=ctv2_twn
台湾|三立台湾台,http://127.0.0.1:8066/smart.php?id=sanlitaiwan
台湾|三立都会台,http://127.0.0.1:8066/smart.php?id=sanlidouhui
台湾|三立综合台,http://127.0.0.1:8066/smart.php?id=sanlizhonghe
台湾|三立戏剧台,http://127.0.0.1:8066/smart.php?id=sanlixiju_twn
台湾|东森新闻台,http://127.0.0.1:8066/smart.php?id=ettvnews
台湾|东森财经新闻台,http://127.0.0.1:8066/smart.php?id=ettvcaijing_twn
台湾|东森综合台,http://127.0.0.1:8066/smart.php?id=ettvzhonghe
台湾|东森戏剧台,http://127.0.0.1:8066/smart.php?id=ettvdrama
台湾|东森电影台,http://127.0.0.1:8066/smart.php?id=ettvmovie
台湾|东森洋片台,http://127.0.0.1:8066/smart.php?id=ettvwestern
台湾|东森幼幼台,http://127.0.0.1:8066/smart.php?id=yoyo_twn
台湾|东森超视,http://127.0.0.1:8066/smart.php?id=ettvsuper
台湾|TVBS HD,http://127.0.0.1:8066/smart.php?id=tvbs
台湾|TVBS 新闻台,http://127.0.0.1:8066/smart.php?id=tvbs_n
台湾|TVBS 欢乐台,http://127.0.0.1:8066/smart.php?id=tvbshuanle_twn
台湾|民视 HD,http://127.0.0.1:8066/smart.php?id=ftvhd_taiwan
台湾|民视新闻台,http://127.0.0.1:8066/smart.php?id=ftvnew_taiwan
台湾|民视台湾台,http://127.0.0.1:8066/smart.php?id=ftvtaiwan_twn
台湾|中天综合,http://127.0.0.1:8066/smart.php?id=ctizhonghe
台湾|中天娱乐,http://127.0.0.1:8066/smart.php?id=ctient
台湾|中天亚洲,http://127.0.0.1:8066/smart.php?id=ctiasia_twn
台湾|中天新闻,http://127.0.0.1:8066/smart.php?id=ctinews
台湾|寰宇新闻台,http://127.0.0.1:8066/smart.php?id=huanyuxinwen_twn
台湾|寰宇财经台,http://127.0.0.1:8066/smart.php?id=huanyutaiwan_twn
台湾|八大第一台,http://127.0.0.1:8066/smart.php?id=badafirst
台湾|八大综合台,http://127.0.0.1:8066/smart.php?id=badazhonghe
台湾|八大戏剧台,http://127.0.0.1:8066/smart.php?id=badadrama
台湾|八大娱乐台,http://127.0.0.1:8066/smart.php?id=badaentertain
台湾|纬来体育,http://127.0.0.1:8066/smart.php?id=videolandsport
台湾|纬来精彩,http://127.0.0.1:8066/smart.php?id=videolandspecial_twn
台湾|纬来日本,http://127.0.0.1:8066/smart.php?id=videolandjapan
台湾|纬来电影,http://127.0.0.1:8066/smart.php?id=videolandmovie
台湾|纬来综合,http://127.0.0.1:8066/smart.php?id=videolandzonghe
台湾|纬来育乐,http://127.0.0.1:8066/smart.php?id=videolandyule
